Year,iso3,RecipientName,ha_total,ha_rank
2018,ALB,Albania,5.551118,88
2019,ALB,Albania,8.366863,84
2020,ALB,Albania,76.694697,37
2018,DZA,Algeria,24.297834,52
2019,DZA,Algeria,23.23482,54
2020,DZA,Algeria,21.027347,62
2018,AGO,Angola,16.633501,59
2019,AGO,Angola,19.912835,62
2020,AGO,Angola,15.963483,74
2018,ATG,Antigua and Barbuda,2.753368,99
2019,ATG,Antigua and Barbuda,4.926313,95
2020,ATG,Antigua and Barbuda,3.275082,114
2018,ARG,Argentina,0.077064,137
2019,ARG,Argentina,0.690652,123
2020,ARG,Argentina,9.791858,88
2018,ARM,Armenia,1.860088,110
2019,ARM,Armenia,1.454282,114
2020,ARM,Armenia,7.899716,99
2018,AZE,Azerbaijan,2.15953,104
2019,AZE,Azerbaijan,2.560417,109
2020,AZE,Azerbaijan,9.545129,89
2018,BLR,Belarus,1.025659,118
2019,BLR,Belarus,0.86061,121
2020,BLR,Belarus,15.818453,75
2018,BLZ,Belize,0.147691,134
2019,BLZ,Belize,0.664863,124
2020,BLZ,Belize,0.841889,129
2018,BEN,Benin,1.912155,109
2019,BEN,Benin,3.67544,100
2020,BEN,Benin,7.66297,100
2018,BTN,Bhutan,1.380972,113
2019,BTN,Bhutan,9.581736,79
2020,BTN,Bhutan,1.421703,126
2018,BOL,Bolivia,4.001551,95
2019,BOL,Bolivia,7.562952,85
2020,BOL,Bolivia,5.96363,104
2018,BIH,Bosnia and Herzegovina,38.521909,44
2019,BIH,Bosnia and Herzegovina,28.474002,49
2020,BIH,Bosnia and Herzegovina,38.365689,51
2018,BWA,Botswana,2.233633,103
2019,BWA,Botswana,1.67731,113
2020,BWA,Botswana,3.13666,115
2018,BRA,Brazil,7.590234,81
2019,BRA,Brazil,16.960203,65
2020,BRA,Brazil,18.053378,71
2018,BFA,Burkina Faso,141.309719,26
2019,BFA,Burkina Faso,88.3695670000001,34
2020,BFA,Burkina Faso,193.763428,26
2018,BDI,Burundi,66.282653,36
2019,BDI,Burundi,63.753551,38
2020,BDI,Burundi,67.794354,40
2018,CPV,Cabo Verde,0.307105,129
2019,CPV,Cabo Verde,0.264627,130
2020,CPV,Cabo Verde,5.010645,108
2018,KHM,Cambodia,3.568177,96
2019,KHM,Cambodia,2.727535,108
2020,KHM,Cambodia,4.858697,109
2018,CMR,Cameroon,113.096569,29
2019,CMR,Cameroon,128.914225,30
2020,CMR,Cameroon,185.364241,28
2019,TCD,Chad,182.898114,24
2020,TCD,Chad,201.27126,23
2018,CHN,China (People's Republic of),5.666363,87
2019,CHN,China (People's Republic of),10.930738,75
2020,CHN,China (People's Republic of),40.309134,50
2018,COL,Colombia,87.4705780000001,33
2019,COL,Colombia,184.563462,23
2018,COM,Comoros,3.117752,98
2019,COM,Comoros,19.884768,63
2020,COM,Comoros,13.160559,80
2018,COG,Congo,12.589928,66
2019,COG,Congo,23.346445,53
2020,COG,Congo,22.683676,61
2018,COK,Cook Islands,0.287426,130
2018,CRI,Costa Rica,2.679358,100
2019,CRI,Costa Rica,4.68887,96
2020,CRI,Costa Rica,8.113611,97
2018,CUB,Cuba,12.092555,71
2019,CUB,Cuba,3.260023,101
2020,CUB,Cuba,6.539079,101
2018,CIV,Côte d'Ivoire,41.103689,41
2019,CIV,Côte d'Ivoire,25.080112,52
2020,CIV,Côte d'Ivoire,19.162906,68
2018,PRK,Democratic People's Republic of Korea,30.696166,47
2019,PRK,Democratic People's Republic of Korea,30.885117,47
2020,PRK,Democratic People's Republic of Korea,22.713394,60
2018,DJI,Djibouti,12.421809,69
2019,DJI,Djibouti,22.606475,56
2020,DJI,Djibouti,16.126764,73
2018,DMA,Dominica,12.586933,67
2019,DMA,Dominica,5.131961,94
2020,DMA,Dominica,5.650081,106
2018,DOM,Dominican Republic,5.694315,86
2019,DOM,Dominican Republic,5.259287,93
2020,DOM,Dominican Republic,2.76428,118
2018,ECU,Ecuador,40.151599,43
2019,ECU,Ecuador,58.722373,39
2020,ECU,Ecuador,56.17412,46
2018,EGY,Egypt,36.248761,45
2019,EGY,Egypt,39.663786,44
2020,EGY,Egypt,58.846028,44
2018,SLV,El Salvador,12.499185,68
2019,SLV,El Salvador,9.233192,81
2020,SLV,El Salvador,66.690177,42
2018,GNQ,Equatorial Guinea,0.023945,139
2019,GNQ,Equatorial Guinea,0.013104,138
2020,GNQ,Equatorial Guinea,0.23122,137
2018,ERI,Eritrea,10.208311,75
2019,ERI,Eritrea,6.157576,89
2020,ERI,Eritrea,4.273554,111
2018,SWZ,Eswatini,5.035854,90
2019,SWZ,Eswatini,1.105173,118
2020,SWZ,Eswatini,6.464573,102
2018,FJI,Fiji,5.376119,89
2019,FJI,Fiji,7.096207,86
2020,FJI,Fiji,18.944837,69
2018,GAB,Gabon,0.042025,138
2019,GAB,Gabon,0.638593,125
2020,GAB,Gabon,0.818341,130
2018,GMB,Gambia,1.984161,108
2019,GMB,Gambia,3.807797,98
2020,GMB,Gambia,1.809203,124
2018,GEO,Georgia,21.912007,56
2019,GEO,Georgia,37.644188,45
2020,GEO,Georgia,3.041408,117
2018,GHA,Ghana,4.499199,92
2019,GHA,Ghana,6.079737,91
2020,GHA,Ghana,10.349065,85
2018,GRD,Grenada,3.328038,97
2019,GRD,Grenada,0.002326,139
2020,GRD,Grenada,2.687923,119
2018,GTM,Guatemala,17.589952,57
2019,GTM,Guatemala,26.974901,51
2020,GTM,Guatemala,28.079047,54
2018,GIN,Guinea,12.262652,70
2019,GIN,Guinea,11.585156,72
2020,GIN,Guinea,8.827702,93
2018,GNB,Guinea-Bissau,1.735715,111
2019,GNB,Guinea-Bissau,3.714268,99
2020,GNB,Guinea-Bissau,2.086241,122
2018,GUY,Guyana,0.722917,120
2019,GUY,Guyana,0.513829,127
2020,GUY,Guyana,0.603661,132
2018,HTI,Haiti,118.343837,28
2019,HTI,Haiti,73.871124,36
2020,HTI,Haiti,117.777482,31
2018,HND,Honduras,17.308171,58
2019,HND,Honduras,21.932198,57
2020,HND,Honduras,97.016119,33
2018,IND,India,124.11138,27
2020,IND,India,70.284048,39
2018,IDN,Indonesia,102.183594,31
2019,IDN,Indonesia,28.92502,48
2020,IDN,Indonesia,37.398613,52
2018,IRN,Iran,31.136511,46
2019,IRN,Iran,43.568057,41
2020,IRN,Iran,57.046291,45
2018,JAM,Jamaica,1.36546,114
2019,JAM,Jamaica,0.255476,131
2020,JAM,Jamaica,0.799037,131
2018,KAZ,Kazakhstan,0.31894,127
2019,KAZ,Kazakhstan,0.236015,132
2020,KAZ,Kazakhstan,19.319539,66
2018,KEN,Kenya,199.45603,20
2019,KEN,Kenya,230.16195,21
2018,KIR,Kiribati,0.151705,133
2019,KIR,Kiribati,0.032441,136
2020,KIR,Kiribati,0.134476,139
2018,XKX,Kosovo,2.353328,102
2019,XKX,Kosovo,2.214391,111
2020,XKX,Kosovo,2.496532,121
2018,KGZ,Kyrgyzstan,4.083638,94
2019,KGZ,Kyrgyzstan,19.187706,64
2020,KGZ,Kyrgyzstan,15.636698,76
2018,LAO,Lao People's Democratic Republic,12.603347,65
2019,LAO,Lao People's Democratic Republic,15.146809,67
2020,LAO,Lao People's Democratic Republic,8.94797,92
2018,LSO,Lesotho,4.465112,93
2019,LSO,Lesotho,14.175683,69
2020,LSO,Lesotho,11.450328,84
2018,LBR,Liberia,11.597295,73
2019,LBR,Liberia,15.828218,66
2020,LBR,Liberia,10.209876,87
2018,LBY,Libya,103.398521,30
2019,LBY,Libya,90.979275,33
2020,LBY,Libya,74.903578,38
2018,MDG,Madagascar,53.346925,38
2019,MDG,Madagascar,55.808409,40
2020,MDG,Madagascar,84.58329,36
2018,MWI,Malawi,42.521477,40
2019,MWI,Malawi,102.095255,32
2020,MWI,Malawi,89.112576,35
2018,MYS,Malaysia,9.105214,77
2019,MYS,Malaysia,5.292192,92
2020,MYS,Malaysia,12.808031,82
2018,MDV,Maldives,0.369803,125
2019,MDV,Maldives,3.083083,102
2020,MDV,Maldives,12.87378,81
2018,MLI,Mali,189.87532,21
2019,MLI,Mali,180.498433,25
2020,MLI,Mali,198.960293,25
2018,MHL,Marshall Islands,0.675554,121
2019,MHL,Marshall Islands,1.107912,117
2020,MHL,Marshall Islands,1.145897,127
2018,MRT,Mauritania,54.952278,37
2019,MRT,Mauritania,41.936524,42
2020,MRT,Mauritania,54.770003,47
2018,MUS,Mauritius,1.154524,117
2019,MUS,Mauritius,11.106782,74
2020,MUS,Mauritius,2.684433,120
2018,MEX,Mexico,6.783442,83
2019,MEX,Mexico,9.722396,77
2020,MEX,Mexico,24.434837,56
2018,FSM,Micronesia,12.98158,64
2019,FSM,Micronesia,6.403137,88
2020,FSM,Micronesia,9.041966,91
2018,MDA,Moldova,0.184303,132
2019,MDA,Moldova,0.826657,122
2020,MDA,Moldova,1.000971,128
2018,MNG,Mongolia,2.094471,105
2019,MNG,Mongolia,2.741516,107
2020,MNG,Mongolia,11.46188,83
2018,MNE,Montenegro,1.298468,115
2019,MNE,Montenegro,1.395533,115
2020,MNE,Montenegro,6.0325,103
2018,MSR,Montserrat,0.271186,131
2020,MSR,Montserrat,0.286286,134
2018,MAR,Morocco,8.680093,79
2019,MAR,Morocco,8.392841,83
2020,MAR,Morocco,23.495851,58
2018,MOZ,Mozambique,22.84915,54
2020,MOZ,Mozambique,236.74322,21
2018,MMR,Myanmar,183.907779,23
2019,MMR,Myanmar,246.978772,20
2020,MMR,Myanmar,199.257771,24
2018,NAM,Namibia,2.354153,101
2019,NAM,Namibia,1.737682,112
2020,NAM,Namibia,9.163523,90
2018,NRU,Nauru,0.008916,141
2020,NRU,Nauru,0.161726,138
2018,NPL,Nepal,184.626943,22
2019,NPL,Nepal,186.626709,22
2020,NPL,Nepal,174.257573,29
2018,NIC,Nicaragua,15.836749,60
2019,NIC,Nicaragua,9.612375,78
2020,NIC,Nicaragua,19.223133,67
2019,NER,Niger,148.91835,27
2020,NER,Niger,211.652865,22
2019,NIU,Niue,0.066505,135
2020,NIU,Niue,0.236463,136
2018,MKD,North Macedonia,6.516209,84
2019,MKD,North Macedonia,3.060101,103
2020,MKD,North Macedonia,8.282197,95
2018,PAK,Pakistan,177.180251,24
2019,PAK,Pakistan,105.097552,31
2020,PAK,Pakistan,188.47623,27
2018,PLW,Palau,0.604118,122
2019,PLW,Palau,0.312752,128
2020,PLW,Palau,0.280255,135
2018,PAN,Panama,2.052759,106
2019,PAN,Panama,4.490929,97
2020,PAN,Panama,8.534967,94
2018,PNG,Papua New Guinea,28.899684,48
2019,PNG,Papua New Guinea,10.220486,76
2020,PNG,Papua New Guinea,10.308369,86
2018,PRY,Paraguay,1.246393,116
2019,PRY,Paraguay,2.2381,110
2020,PRY,Paraguay,7.901841,98
2018,PER,Peru,10.141607,76
2019,PER,Peru,21.481728,59
2020,PER,Peru,40.889244,49
2018,PHL,Philippines,78.382574,34
2019,PHL,Philippines,40.559328,43
2020,PHL,Philippines,47.50749,48
2018,RWA,Rwanda,25.755046,51
2019,RWA,Rwanda,36.45114,46
2020,RWA,Rwanda,61.330281,43
2018,LCA,Saint Lucia,0.816737,119
2019,LCA,Saint Lucia,0.522779,126
2020,LCA,Saint Lucia,1.559689,125
2018,VCT,Saint Vincent and the Grenadines,0.097112,136
2019,VCT,Saint Vincent and the Grenadines,11.452299,73
2020,VCT,Saint Vincent and the Grenadines,18.624033,70
2018,WSM,Samoa,15.268281,61
2019,WSM,Samoa,12.284481,71
2020,WSM,Samoa,8.231856,96
2018,STP,Sao Tome and Principe,0.371566,124
2019,STP,Sao Tome and Principe,1.167777,116
2020,STP,Sao Tome and Principe,1.88444,123
2018,SEN,Senegal,27.120995,50
2019,SEN,Senegal,14.972337,68
2020,SEN,Senegal,19.391847,65
2018,SRB,Serbia,8.837739,78
2019,SRB,Serbia,9.325954,80
2020,SRB,Serbia,23.542329,57
2018,SLE,Sierra Leone,11.914047,72
2019,SLE,Sierra Leone,13.596436,70
2020,SLE,Sierra Leone,31.304772,53
2018,SLB,Solomon Islands,6.024945,85
2019,SLB,Solomon Islands,2.939971,104
2020,SLB,Solomon Islands,4.688013,110
2018,ZAF,South Africa,4.764202,91
2019,ZAF,South Africa,7.012025,87
2020,ZAF,South Africa,15.393994,77
2018,LKA,Sri Lanka,23.589252,53
2019,LKA,Sri Lanka,21.603314,58
2020,LKA,Sri Lanka,17.949391,72
2018,SUR,Suriname,1.990605,107
2019,SUR,Suriname,0.233158,133
2020,SUR,Suriname,0.455546,133
2018,TJK,Tajikistan,10.888542,74
2019,TJK,Tajikistan,8.467299,82
2020,TJK,Tajikistan,20.376518,63
2018,TZA,Tanzania,87.480832,32
2019,TZA,Tanzania,78.988163,35
2020,TZA,Tanzania,66.871734,41
2018,THA,Thailand,27.811618,49
2019,THA,Thailand,27.324879,50
2020,THA,Thailand,26.690431,55
2018,TLS,Timor-Leste,6.985408,82
2019,TLS,Timor-Leste,6.084593,90
2020,TLS,Timor-Leste,5.753164,105
2018,TGO,Togo,1.392963,112
2019,TGO,Togo,2.855015,105
2020,TGO,Togo,3.429936,113
2018,TKL,Tokelau,0.108799,135
2019,TKL,Tokelau,0.297463,129
2020,TKL,Tokelau,0.104618,140
2018,TON,Tonga,14.538197,62
2019,TON,Tonga,2.764072,106
2020,TON,Tonga,13.216075,79
2018,TUN,Tunisia,8.049691,80
2019,TUN,Tunisia,20.110238,61
2020,TUN,Tunisia,14.616879,78
2018,TKM,Turkmenistan,0.011194,140
2019,TKM,Turkmenistan,0.020554,137
2020,TKM,Turkmenistan,5.429247,107
2018,TUV,Tuvalu,0.341718,126
2019,TUV,Tuvalu,0.102472,134
2020,TUV,Tuvalu,3.110638,116
2018,UKR,Ukraine,155.458309,25
2019,UKR,Ukraine,129.106779,29
2020,UKR,Ukraine,117.624063,32
2018,UZB,Uzbekistan,0.310667,128
2019,UZB,Uzbekistan,0.90637,120
2020,UZB,Uzbekistan,3.569191,112
2018,VUT,Vanuatu,22.348569,55
2019,VUT,Vanuatu,21.396145,60
2020,VUT,Vanuatu,23.096692,59
2018,VEN,Venezuela,40.491179,42
2019,VEN,Venezuela,135.763186,28
2020,VEN,Venezuela,154.755845,30
2018,VNM,Viet Nam,47.070848,39
2019,VNM,Viet Nam,66.466749,37
2020,VNM,Viet Nam,90.125908,34
2018,WLF,Wallis and Futuna,0.463768,123
2019,WLF,Wallis and Futuna,0.967525,119
2020,WLF,Wallis and Futuna,0.068536,141
2018,ZMB,Zambia,13.02621,63
2019,ZMB,Zambia,22.874685,55
2020,ZMB,Zambia,19.614666,64
2018,ZWE,Zimbabwe,71.58919,35
2019,ZWE,Zimbabwe,168.884937,26
2020,ZWE,Zimbabwe,248.649576,20
